Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-01-04,234.0073699951172,235.56585779785652,232.45782594867535,233.77448245338613,4069264
2010-01-05,234.7910614013672,235.62851612854905,232.88772538408358,234.67013483684997,6895528
2010-01-06,231.3651123046875,240.31302421331262,230.6485621020388,240.31302421331262,6817288
2010-01-07,226.16561889648438,231.6785808644193,225.552064097186,231.6785808644193,10892600
2010-01-08,220.71534729003906,226.00887007128543,220.16002531812242,225.6237200066519,12649312
2010-01-11,222.99493408203125,224.34294877405668,221.5931912352762,221.69172565335174,7849656
2010-01-12,231.70993041992188,232.34139463618237,223.92193006571162,223.92193006571162,24859680
2010-01-13,240.3578338623047,241.3878748868683,221.84845324177158,221.84845324177158,19704040
2010-01-14,240.9175567626953,242.09537713422588,237.37510815835768,239.95469265443285,8413904
2010-01-15,239.66810607910156,241.1639000831153,237.72892919384896,240.91758597903782,5049504
2010-01-18,240.63992309570312,240.93998721706848,237.8946490886743,238.52163046804958,6140088
2010-01-19,236.09432983398438,240.76087184853517,235.39571086939702,240.04432163470025,5837512
2010-01-20,238.04690551757812,239.4352213934525,236.2824051971998,237.23630381012495,6091992
2010-01-21,235.13592529296875,238.67389162765735,232.87879671368037,236.7302537362528,6682792
2010-01-22,230.69334411621094,233.77450120894915,228.5795122931947,232.87881346485355,13486496
2010-01-25,227.71070861816406,230.1872765822093,225.5341829399071,228.40038383509258,6498712
2010-01-27,224.1234588623047,226.95384079340886,222.5918241201319,226.7881298189052,9840856
2010-01-28,223.18301391601562,228.83927378702202,222.08579632979263,225.086350545178,12732872
2010-01-29,221.72747802734375,223.9219127725144,215.39497070761192,219.658430806376,15012280
2010-02-01,219.55545043945312,226.6089911725921,214.07832882663902,219.17478316179165,12308784
2010-02-02,218.54331970214844,224.0114975770547,216.90420680981677,224.0114975770547,9889384
2010-02-03,221.521484375,223.92193185799292,219.44349322083303,219.44349322083303,6405608
