Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2010-01-04,151.9151153564453,153.94575534411365,150.74393203580138,151.40744856454492,3050490
2010-01-05,152.0487060546875,153.63403003099845,151.852765914697,152.29808194377236,8386600
2010-01-06,152.15113830566406,153.18871870568387,150.34760017855,152.65433401839812,6639840
2010-01-07,152.5474395751953,157.4993510514484,151.5499361382422,157.4993510514484,6123980
2010-01-08,152.7478790283203,153.49154930113306,151.49654188091975,152.47622914192627,7085900
2010-01-11,152.13331604003906,155.7403785663388,151.63010675658438,155.7403785663388,13766610
2010-01-12,150.97994995117188,152.45838883588314,149.50149747649394,152.11995789575164,4907050
2010-01-13,150.45445251464844,150.94430281726716,148.33920158103777,150.06702978120262,10346750
2010-01-14,149.96463012695312,152.63652629831842,148.73555353933574,152.29808176782282,10172640
2010-01-15,150.8864288330078,151.3183859382103,148.82462696999713,151.26495018745817,11581730
2010-01-18,157.34349060058594,158.35436658154467,149.81320927254322,150.51680254747032,23501460
2010-01-19,158.46124267578125,159.31625536925057,156.11887618374638,157.1965468756231,16664220
2010-01-20,156.40390014648438,159.42314235474367,155.23717429582481,158.97782631464662,13652110
2010-01-21,152.44505310058594,156.83141936235234,151.86169010226646,156.83141936235234,12523470
2010-01-22,149.36790466308594,151.4074460449295,147.31053324537427,151.05119866669267,9473700
2010-01-25,147.55096435546875,149.4390993674032,145.28876562928102,147.8448744716597,6028790
2010-01-27,142.25173950195312,147.94287725331,141.33438965897756,147.94287725331,12107790
2010-01-28,141.89993286132812,144.1933074169378,140.4348394968849,143.39174409710154,17432230
2010-01-29,145.26651000976562,145.79643706931122,138.27060034806934,140.71983803539425,16435170
2010-02-01,142.47886657714844,144.9948993817292,141.16517887716302,144.9948993817292,7517330
2010-02-02,140.63970947265625,143.82817382421476,140.0073547411879,143.12456689835798,10334700
2010-02-03,144.52731323242188,145.3867835054278,140.54174288668776,142.50113071603994,7727670
2010-02-04,143.99295043945312,144.71881779023877,141.20972506985632,144.104279454237,8605240
2010-02-05,140.12759399414062,142.32299864849804,139.38391028237803,142.32299864849804,9346940
2010-02-08,139.59765625,141.50805199133262,137.95888313932466,141.1651635841623,7590600
2010-02-09,139.97616577148438,140.5328107455207,138.1815429187899,139.5442087280336,11973750
2010-02-10,141.92665100097656,144.05526082408585,139.2948319502553,140.2745325340985,13866680
2010-02-11,142.32298278808594,145.4401944917488,141.61047453782723,142.85735378330656,7269690
2010-02-15,143.7301788330078,144.25564838679435,140.94249666704488,142.23391019023506,4802490
2010-02-16,143.07110595703125,144.52284028338468,141.61047020418414,142.9464180362991,7174850
2010-02-17,147.4842071533203,147.9295231533992,143.82816659786317,144.10426034351755,12398340
2010-02-18,149.96014404296875,150.51678897260115,147.02105609651687,148.28130782758453,10004420
2010-02-19,150.86415100097656,151.40743705400425,147.4975631936789,148.7355411059924,7345990
2010-02-22,151.10462951660156,153.1619872776607,150.5168091305944,151.49650977393966,6640170
2010-02-23,151.49649047851562,152.19562618634734,149.83545710520954,150.07593152157813,6472890
2010-02-24,151.45199584960938,152.29809365190417,150.2941713670107,150.51682939866552,5605690
2010-02-25,150.61033630371094,151.76370323351938,149.80431534662483,151.49652447755392,5836970
2010-02-26,151.8349609375,154.5024133943301,149.62619707163353,150.5168291970599,9351030
2010-03-02,155.41082763671875,156.39498578874822,151.9418257559247,153.54495249576843,7714650
2010-03-03,158.23410034179688,158.62153660891147,155.19705608679075,155.19705608679075,11147960
2010-03-04,158.63491821289062,159.15593030490732,156.13668847051133,158.0871746590085,13514420
2010-03-05,158.88873291015625,159.86843348168458,157.7309222583054,159.0267797738764,10449650
2010-03-08,158.9065704345703,161.2044027790119,157.90015185848657,161.2044027790119,7372960
2010-03-09,161.311279296875,161.64972383882565,158.08719548976063,158.08719548976063,12397690
2010-03-10,161.60072326660156,162.08611605629216,154.07042837853436,161.38250919419733,14960560
2010-03-11,162.7140350341797,163.4309873382833,160.58986881724485,161.73879181545414,7745230
2010-03-12,160.42510986328125,163.0212965013303,159.09806311831116,162.71848484354146,7472440
2010-03-15,161.43148803710938,162.0950044482877,158.5324768779957,158.5324768779957,7512960
2010-03-16,160.72349548339844,161.1955294701066,157.10751727526386,160.7591147924087,10436250
2010-03-17,160.9995574951172,162.52253067142502,160.14454475809254,160.723463737422,4794840
2010-03-18,160.3938751220703,161.41810983022194,159.46762404396597,161.41810983022194,3501970
2010-03-19,162.08168029785156,162.52253883049931,160.10447598481446,161.63190674678773,6339840
2010-03-22,163.61798095703125,165.21220596764732,160.13560720846698,160.49185450772185,15305610
2010-03-23,167.79505920410156,168.32944382683962,163.43096794828082,163.43096794828082,10154380
2010-03-25,171.54908752441406,171.89197595193048,166.5660003986103,167.4388159531758,23296400
2010-03-26,173.80235290527344,175.06259096974205,170.38677384516578,171.9810124370674,11552860
2010-03-29,175.01364135742188,177.2357637959235,145.07058498650187,145.07058498650187,13226710
2010-03-30,169.8301544189453,175.44559603653624,169.3447616278235,175.00918148040623,9369980
2010-03-31,172.2036895751953,173.0408721761279,168.97514882006402,169.22006716550186,6826080
2010-04-01,172.71580505371094,173.67323168990586,171.54462185535638,173.67323168990586,7409220
2010-04-05,173.53964233398438,174.52824435028904,171.39321605507595,174.4569921629018,7123840
2010-04-06,172.15025329589844,173.67323999544342,171.48227929591596,173.67323999544342,4421440
2010-04-07,172.0478515625,173.49067115639525,171.53574084404667,172.78262029679973,5378050
2010-04-08,169.46946716308594,171.88308602346942,168.66790374567103,171.88308602346942,6238830
2010-04-09,173.61532592773438,174.29665878243847,168.37396212860367,168.37396212860367,6207650
2010-04-12,174.04730224609375,175.26746372634648,172.66681994049864,172.66681994049864,4570640
